timestamp,open,high,low,close
2007-12-21,640.63,645.18,640.63,643.41
2007-12-20,633.14,636.77,632.52,634.56
2007-12-19,626.39,631.91,625.67,628.45
2007-12-18,631.31,634.43,627.93,627.93
2007-12-17,628.74,631.34,626.43,627.78
2007-12-14,636.23,642.62,633.67,639.7
2007-12-13,642.18,645.88,636.42,636.42
2007-12-12,649.08,661.09,648.89,655.98
2007-12-11,654.51,655.1,652.28,653.69
2007-12-10,655.36,659.67,653.23,656.54
2007-12-07,656.79,657.78,652.55,655.49
2007-12-06,653.22,654.02,643.78,648.56
2007-12-05,640.54,649.38,638.83,649.38
2007-12-04,630.82,633.37,628.93,631.52
2007-12-03,641.09,641.14,637.99,638.66
2007-11-30,640.78,645.58,639.42,643.25
2007-11-29,629.14,636.32,628.26,634.91
2007-11-28,618.79,630.74,618.79,630.62
2007-11-27,613.72,614.43,606.18,614.07
2007-11-26,627.4,627.4,618.05,618.05
2007-11-23,621.84,626.21,620.72,626.21
2007-11-21,614.39,615.09,604.18,607.09
2007-11-20,616.14,622.77,611.54,622.65
2007-11-19,623.54,625.15,612.08,612.08
2007-11-16,632.41,635.49,628.39,629.12
2007-11-15,637.73,638.37,633.55,635.96
2007-11-14,638.76,645.32,638.14,643.21
2007-11-13,633.27,638.74,632.13,636.24
2007-11-12,631.89,633.79,626.86,633.79
2007-11-09,633.96,634.05,626.89,630.49
2007-11-08,640.3,641.4,637.51,638.19
2007-11-07,640.57,651.74,638.13,638.51
2007-11-06,649.01,650.93,645.64,647.49
2007-11-05,644.88,648.07,642.04,646.14
2007-11-02,651.23,656.27,648.34,653.06
2007-11-01,669.02,669.51,654.97,658.61
2007-10-31,668.45,672.16,666.14,672.16
2007-10-30,665.79,667.67,665.38,665.9
2007-10-29,669.52,671.01,667.16,670.6
2007-10-26,660.79,668.41,660.54,666.13
2007-10-25,657.98,658.76,654.25,657.63
2007-10-24,651.88,655.09,646.09,648.2
2007-10-23,655.03,655.92,649.91,651.4
2007-10-22,643.11,649.3,641.37,645.93
2007-10-19,660.3,660.73,652.36,652.79
2007-10-18,661.95,663.53,658.49,660.94
2007-10-17,667.52,669.05,664.23,667.77
2007-10-16,661.67,663.09,660.25,661.43
2007-10-15,672.86,672.91,663.21,664.45
2007-10-12,667.77,673.07,666.61,673.07
2007-10-11,668.89,673.01,668.89,672.45
2007-10-10,661.24,663.3,659.21,663.3
2007-10-09,659.21,662.53,658.15,661.54
2007-10-08,656.46,657.87,654.09,654.09
2007-10-05,656.18,660.51,656.03,659.58
2007-10-04,657.33,658.83,654.79,654.79
2007-10-03,653.53,654.26,651.15,653.52
2007-10-02,652.81,653.96,648.96,650.04
2007-10-01,646.33,651.45,644.57,650.62
2007-09-28,643.66,648.17,641.18,646.68
2007-09-27,647.7,650.8,646.91,648.64
2007-09-26,645.06,648.44,642.0,643.3
2007-09-25,639.27,641.23,636.7,639.69
2007-09-24,649.04,649.04,645.2,646.59
2007-09-21,646.98,648.16,644.16,645.67
2007-09-20,640.3,643.91,640.08,642.9
2007-09-19,642.93,651.24,641.44,646.0
2007-09-18,619.44,629.85,619.28,628.33
2007-09-17,618.61,623.66,618.01,618.28
2007-09-14,622.88,632.84,622.46,628.93
2007-09-13,629.09,637.45,628.96,636.39
2007-09-12,625.11,631.71,623.2,630.62
2007-09-11,622.99,628.07,622.01,628.07
2007-09-10,619.42,623.21,612.31,613.41
2007-09-07,631.54,633.05,617.91,619.12
